Class,Train Count,Val Count,Train %,Val %
bicycle,1228,184,7.549025634720601,9.099901088031652
bus,1337,154,8.219093871027233,7.6162215628091
car,2581,304,15.866478145939633,15.03461918892186
cng,1295,123,7.96090244052376,6.083086053412463
easybike,1678,171,10.315362390114958,8.456973293768547
leguna,576,63,3.5409110469047764,3.115727002967359
bike,1589,204,9.768242454048073,10.089020771513352
rickshaw,2561,405,15.743529845699882,20.02967359050445
van,1657,192,10.18626667486322,9.495548961424333
truck,1286,161,7.905575705415872,7.962413452027696
wheelbarrow,479,61,2.944611790741993,3.016815034619189
