Class,Avg Width,Avg Height,Avg Area
bicycle,306.3412204234122,281.63200498132005,144320.72727272726
bus,608.2421307506054,505.9225181598063,622155.1731234867
car,381.72400874180454,288.8008117389947,228743.15266937247
easybike,977.2948636651871,1087.2384273937857,1769135.9105897273
leguna,909.6820652173913,812.0326086956521,1104510.0760869565
bike,460.85057471264366,439.60669665167416,304216.948025987
rickshaw,478.13343605546993,665.3026194144838,629090.4967642527
van,1102.526002971768,732.9390787518573,1166934.8533927687
truck,880.4510869565217,688.2868357487922,1079869.6129227052
wheelbarrow,1344.1411960132891,905.3089700996678,1584663.4568106313
